Bassett, Richard 
Stephenson, Samuel Merritt
Strong, Luther Martin
Taft, Charles Phelps
Tarsney, John Charles
Thomas, Henry Franklin
Thurston, John Mellen
Tracewell, Robert John
Tracey, John Plank
Treloar, William Mitchellson
Turner, Henry Gray
Turner, Smith Spangler
Tyler, David Gardiner
Van Horn, Robert Thompson
Walsh, James Joseph
Walthall, Edward Cary
Washington, Joseph Edwin
Watson, David Kemper
Willis, Jonathan Spencer
Wilson, George Washington
Wilson, John Lockwood
Wolcott, Edward Oliver
Wood, Benson 
Woodard, Frederick Augustus
Woodman, Charles Walhart
Woomer, Ephraim Milton
Yoakum, Charles Henderson
Brown, Arthur 
Cannon, Frank Jenne
McKinley, William 
Arnold, William Carlile
Baker, Jehu 
Barber, Isaac Ambrose
Barlow, Charles Averill
Barrett, William Emerson
Barrows, Samuel June
Beach, Clifton Bailey
Belden, James Jerome
Belford, Joseph McCrum
Belknap, Hugh Reid
Benner, George Jacob
Bennett, Charles Goodwin
Bodine, Robert Nall
Booze, William Samuel
Botkin, Jeremiah Dunham
Brewster, Henry Colvin
Broderick, Case 
Brucker, Ferdinand 
Callahan, James Yancy
Campbell, James Romulus
Castle, Curtis Harvey
Clardy, John Daniel
Clark, Samuel Mercer
Codding, James Hodge
Colson, David Grant
Connolly, James Austin
Cooke, Edward Dean
Cranford, John Walter
Curtis, George Martin
Davison, George Mosby
Deboe, William Joseph
Dockery, Alexander Monroe
Dorr, Charles Phillips
Earle, Joseph Haynsworth
Evans, Walter 
Fenton, Lucien Jerome
Fischer, Israel Frederick
Foote, Wallace Turner
Fowler, John Edgar
Griffin, Michael 
Gunn, James 
Hager, Alva Lysander
Handy, Levin Irving
Harris, William Alexander
Hartman, Charles Sampson
Heitfeld, Henry 
Henry, Charles Lewis
Hicks, Josiah Duane
Hilborn, Samuel Greeley
Hinrichsen, William Henry
Holman, William Steele
Howard, Milford Wriarson
Howe, James Robinson
Hunter, Andrew Jackson
Hurley, Denis Michael
Johnson, Henry Underwood
Jones, James Kimbrough
Jones, John Percival
Jones, William Carey
Kelley, John Edward
Kenney, Richard Rolland
Kirkpatrick, William Sebring
Knowles, Freeman Tulley
Kulp, Monroe Henry
Kyle, James Henderson
Love, William Franklin
Low, Philip Burrill
Maguire, James George
Mahany, Rowland Blennerhassett
Marshall, George Alexander
Martin, Charles Henry
Maxwell, Samuel 
McCormick, Nelson B.
McDonald, John 
McEwan, Thomas 
McIntire, William Watson
McLaurin, John Lowndes
McMillin, Benton 
Miller, Warren 
Milliken, Seth Llewellyn
Mills, Daniel Webster
Mitchell, John Murry
Morrill, Justin Smith
Northway, Stephen Asa
Odell, Benjamin Baker
Ogden, Henry Warren
Osborne, John Eugene
Perkins, George Douglas
Peters, Mason Summers
Pitney, Mahlon 
Plowman, Thomas Scales
Pritchard, Jeter Connelly
Quigg, Lemuel Ely
Rawlins, Joseph Lafayette
Royse, Lemuel Willard
Sauerhering, Edward 
Sayers, Joseph Draper
Shannon, Richard Cutts
Shuford, Alonzo Craig
Simpkins, John 
Simpson, Jeremiah 
Skinner, Harry 
Snover, Horace Greeley
Spalding, George 
Stone, Charles Warren
Stone, William Alexis
Strait, Thomas Jefferson
Strode, Jesse Burr
Strowd, William Franklin
Sturtevant, John Cirby
Thorp, Robert Taylor
Todd, Albert May
Turley, Thomas Battle
Turner, George 
Updegraff, Thomas 
Vehslage, John Herman George
Vest, George Graham
Vincent, William Davis
Walker, James Alexander
Walker, Joseph Henry
Ward, William Lukens
Wellington, George Louis
White, George Elon
Wilber, David Forrest
Williams, Morgan B.
Wilson, Francis Henry
Wright, Ashley Bascom
Yost, Jacob 
Simon, Joseph 
Sullivan, William Van Amberg
Aldrich, William Farrington
Allen, John Mills
Allen, William Vincent
Atwater, John Wilbur
Bailey, Willis Joshua
Baird, Samuel Thomas
Baker, William Benjamin
Barber, Laird Howard
Barham, John All
Bate, William Brimage
Berry, Albert Seaton
Bland, Richard Parks
Bradley, Thomas Joseph
Brenner, John Lewis
Brewer, Willis 
Brown, Seth W.
Campbell, Albert James
Catchings, Thomas Clendinen
Chanler, William Astor
Chickering, Charles Addison
Clarke, Frank Gay
Clayton, Bertram Tracy
Cochrane, Aaron Van Schaick
Cockrell, Francis Marion
Cox, Nicholas Nichols
Cusack, Thomas 
Daly, William Davis
Danford, Lorenzo 
Davenport, Samuel Arza
Davenport, Stanley Woodward
Davis, Cushman Kellogg
De Vries, Marion 
Dingley, Nelson 
Driggs, Edmund Hope
Epes, Sydney Parham
Ermentrout, Daniel 
Faris, George Washington
Fitzpatrick, Thomas Young
Foster, Addison Gardner
Freer, Romeo Hoyt
Gaston, Athelston 
Gayle, June Ward
Glynn, Martin Henry
Greene, William Laury
Grout, William Wallace
Hanna, Marcus Alonzo
Harmer, Alfred Crout
Hawley, Joseph Roswell
Hawley, Robert Bradley
Hayward, Monroe Leland
Henry, Patrick 
Hoffecker, John Henry
Hoffecker, Walter Oakley
Hooker, Warren Brewster
Johnston, David Emmons
Kerr, Josiah Leeds
Kerr, Winfield Scott
Lane, Joseph Reed
Lentz, John Jacob
Linney, Romulus Zachariah
Lybrand, Archibald 
May, Mitchell 
McAleer, William 
McComas, Louis Emory
McDowell, John Anderson
McPherson, Smith 
Meekison, David 
Mesick, William Smith
Noonan, Edward Thomas
Norton, James 
O’Grady, James Mary Early
Packer, Horace Billings
Pearce, Charles Edward
Pearson, Richmond 
Perea, Pedro 
Phillips, Fremont Orestes
Powers, Horace Henry
Pugh, Samuel Johnson
Quarles, Joseph Very
Quarles, Julian Minor
Reed, Thomas Brackett
Ridgely, Edwin Reed
Robbins, Gaston Ahi
Ross, Jonathan 
Ryan, James Wilfrid
Settle, Evan Evans
Sprague, Charles Franklin
Stallings, Jesse Francis
Stewart, Alexander 
Stewart, William Morris
Sutherland, Roderick Dhu
Terry, William Leake
Thropp, Joseph Earlston
Turner, Oscar 
Underhill, John Quincy
Waters, Russell Judson
Weaver, Walter Lowrie
Weymouth, George Warren
Wheeler, Joseph 
White, George Henry
Wilson, Edgar 
Wilson, Stanyarne 
Wise, Richard Alsop
Young, William Albin
Ziegler, Edward Danner
Bard, Thomas Robert
Allen, Henry Dixon
Aplin, Henry Harrison
Barney, Samuel Stebbins
Bell, John Calhoun
Bellamy, John Dillard
Belmont, Oliver Hazard Perry
Berry, James Henderson
Billmeyer, Alexander 
Blackburn, Joseph Clay Stiles
Boutelle, Charles Addison
Bristow, Henry 
Bromwell, Jacob Henry
Brosius, Marriott 
Bull, Melville 
Burke, Robert Emmet
Burton, Joseph Ralph
Carmack, Edward Ward
Clark, William Andrews
Conry, Joseph Aloysius
Coombs, Frank Leslie
Cooney, James 
Corliss, John Blaisdell
Creamer, Thomas James
Crump, Rousseau Owen
Cummings, Amos Jay
Dahle, Herman Bjorn
De Graffenreid, Reese Calhoun
Dietrich, Charles Henry
Dubois, Fred Thomas
Eddy, Frank Marion
Edwards, Caldwell 
Elliott, William 
Emerson, Louis Woodard
Feely, John Joseph
Flanagan, De Witt Clinton
Fleming, William Henry
Flynn, Dennis Thomas
Fox, Andrew Fuller
Gibson, Paris 
Glenn, Thomas Louis
Gordon, Robert Bryarly
Green, Henry Dickinson
Grow, Galusha Aaron
Hall, James Knox Polk
Hanbury, Harry Alfred
Heatwole, Joel Prescott
Henderson, David Bremner
Henry, Patrick 
Hoar, George Frisbie
Hooker, Charles Edward
Irwin, Harvey Samuel
Jack, Summers Melville
Jackson, Alfred Metcalf
Jett, Thomas Marion
Joy, Charles Frederick
Kearns, Thomas 
Kern, Frederick John
Kleberg, Rudolph 
Knox, William Shadrach
Lanham, Samuel Willis Tucker
Lessler, Montague 
Lewis, Robert Jacob
Loud, Eugene Francis
McCulloch, Philip Doddridge
McMillan, James 
McRae, Thomas Chipman
Mercer, David Henry
Mickey, J. Ross
Millard, Joseph Hopkins
Mitchell, John Hipple
Moody, James Montraville
Moody, Malcolm Adelbert
Moody, William Henry
Morgan, John Tyler
Morris, Robert Page Walter
Moss, John McKenzie
Muller, Nicholas 
Mutchler, Howard 
Naphen, Henry Francis
Neville, William 
Norton, James Albert
Otey, Peter Johnston
Patterson, Thomas MacDonald
Polk, Rufus King
Pugsley, Cornelius Amory
Quay, Matthew Stanley
Ray, George Washington
Reeves, Walter 
Rhea, William Francis
Robinson, John Seaton
Rumple, John Nicholas William
Russell, Charles Addison
Salmon, Joshua S.
Schirm, Charles Reginald
Selby, Thomas Jefferson
Shattuc, William Bunn
Shaw, Albert Duane
Shelden, Carlos Douglas
Sheppard, John Levi
Showalter, Joseph Baltzell
Smith, Henry Cassorte
Snodgrass, Charles Edward
Stark, William Ledyard
Steele, George Washington
Stewart, James Fleming
Stewart, John Knox
Stokes, James William
Storm, Frederic 
Swann, Edward 
Talbert, William Jasper
Tayler, Robert Walker
Tompkins, Arthur Sidney
Tompkins, Emmett 
Wagoner, George Chester Robinson
Weeks, Edgar 
Wheeler, Charles Kennedy
White, James Bamford
Wilcox, Robert William
Woods, Samuel Davis
Wooten, Dudley Goodall
Young, James Rankin
Alger, Russell Alexander
Dryden, John Fairfield
Allee, James Frank
Allison, William Boyd
Ankeny, Levi 
Badger, De Witt Clinton
Baker, Robert 
Ball, Thomas Henry
Bassett, Edward Murray
Bell, Theodore Arlington
Benny, Allan 
Benton, Maecenas Eason
Boreing, Vincent 
Breazeale, Phanor 
Brown, James W.
Burk, Henry 
Butler, James Joseph
Cassingham, John Wilson
Cochran, Charles Fremont
Connell, William 
Cowherd, William Strother
Croft, George William
Croft, Theodore Gaillard
Crowley, Joseph Burns
Daniels, Milton John
Davis, Robert Wyche
De Nivernais, Edward James
Degetau, Federico 
Denny, James William
Dickerman, Charles Heber
Dinsmore, Hugh Anderson
Dougherty, John 
Douglas, William Harris
Emerich, Martin 
Evans, Alvin 
Fairbanks, Charles Warren
Fitzpatrick, Morgan Cassius
Foerderer, Robert Hermann
Foraker, Joseph Benson
Foster, George Peter
Fulton, Charles William
Gibson, Henry Richard
Gill, Joseph John
Gillet, Charles William
Gooch, Daniel Linn
Gorman, Arthur Pue
Griffith, Francis Marion
Hansbrough, Henry Clay
Hildebrant, Charles Quinn
Hopkins, Albert Jarvis
Houston, Henry Aydelotte
Howell, George 
Hunter, Whiteside Godfrey
Jackson, Amos Henry
Kehoe, James Nicholas
Kittredge, Alfred Beard
Kluttz, Theodore Franklin
Kyle, Thomas Barton
Lanning, William Mershon
Latimer, Asbury Churchwell
Lind, John 
Livernash, Edward James
Long, Chester Isaiah
Lucking, Alfred 
Maddox, John W.
Mahoney, William Frank
Mallory, Stephen Russell
McClellan, George Brinton
McCreary, James Bennett
Metcalf, Victor Howard
Miers, Robert Walter
Morgan, Stephen 
Otis, Norton Prentiss
Pettus, Edmund Winston
Pierce, Rice Alexander
Platt, Orville Hitchcock
Platt, Thomas Collier
Porter, Henry Kirke
Powers, Samuel Leland
Rhea, John Stockdale
Richardson, James Daniel
Rider, Ira Edgar
Robb, Edward 
Robinson, James McClellan
Rodey, Bernard Shandon
Scarborough, Robert Bethea
Scudder, Townsend 
Shiras, George III
Shober, Francis Emanuel
Shull, Joseph Horace
Skiles, William Woodburn
Smith, George Joseph
Spalding, Burleigh Folsom
Spooner, John Coit
Tate, Farish Carter
Teller, Henry Moore
Thayer, John Randolph
Thomas, Lot 
Thompson, Charles Winston
Tongue, Thomas H.
Van Voorhis, Henry Clay
Vandiver, Willard Duncan
Wade, Martin Joseph
Warner, Vespasian 
Warnock, William Robert
Williams, James Robert
Wilson, John Frank
Wright, Charles Frederick
Wynn, William Joseph
Dick, Charles William Frederick
Adams, Henry Cullen
Adams, Robert 
Aldrich, Nelson Wilmarth
Allen, Henry Crosby
Babcock, Joseph Weeks
Beidler, Jacob Atlee
Beveridge, Albert Jeremiah
Bishop, Roswell Peter
Blackburn, Edmond Spencer
Bowersock, Justin De Witt
Bowie, Sydney Johnston
Broocks, Moses Lycurgus
Brooks, Franklin Eli
Brown, Webster Everett
Buckman, Clarence Bennett
Bulkeley, Morgan Gardner
Burkett, Elmer Jacob
Burrows, Julius Caesar
Butler, Mounce Gore
Campbell, William Wildman
Carter, Thomas Henry
Castor, George Albert
Cromer, George Washington
Dale, Thomas Henry
Daniel, John Warwick
Davis, Thomas Beall
Dayton, Alston Gordon
Deemer, Elias 
Depew, Chauncey Mitchell
Dickson, Frank Stoddard
Dovener, Blackburn Barrett
Dresser, Solomon Robert
Field, Scott 
Flack, William Henry
Fletcher, Loren 
Flint, Frank Putnam
Frazier, James Beriah
Fulkerson, Frank Ballard
Garber, Harvey Cable
Gearin, John McDermeid
Gilbert, George Gilmore
Gilbert, Newton Whiting
Gillett, James Norris
Grosvenor, Charles Henry
Hale, Eugene 
Hearst, William Randolph
Hedge, Thomas 
Hemenway, James Alexander
Hermann, Binger 
Hitt, Robert Roberts
Hoar, Rockwood 
Hogg, Herschel Millard
Hopkins, Francis Alexander
Hunt, John Thomas
Kean, John 
Kennedy, John Lauderdale
Ketcham, John Henry
Klepper, Frank B.
Kline, Marcus Charles Lawrence
Lacey, John Fletcher
Landis, Frederick 
Le Fevre, Frank Jacob
Lester, Rufus Ezekiel
Lilley, Mial Eben
Littauer, Lucius Nathan
Little, John Sebastian
Mahon, Thaddeus Maclay
Marsh, Benjamin Franklin
McCarthy, John Jay
McCleary, James Thompson
McDermott, Allan Langdon
McNary, William Sarsfield
Michalek, Anthony 
Minor, Edward Sloman
Money, Hernando De Soto
Morrell, Edward de Veaux
Nevin, Robert Murphy
Otjen, Theobald 
Patterson, George Robert
Patterson, Gilbert Brown
Patterson, Malcolm Rice
Piles, Samuel Henry
Pinckney, John McPherson
Proctor, Redfield 
Richardson, James Montgomery
Rives, Zeno John
Robertson, Samuel Matthews
Ruppert, Jacob 
Samuel, Edmund William
Schneebeli, Gustav Adolphus
Scott, Nathan Bay
Scroggy, Thomas Edmund
Shartel, Cassius McLean
Sibley, Joseph Crocker
Smith, David Highbaugh
Smith, Thomas Alexander
Smith, William Orlando
Smyser, Martin Luther
Southall, Robert Goode
Southard, James Harding
Sullivan, John Andrew
Taliaferro, James Piper
Towne, Charles Arnette
Trimble, South 
Tyndall, William Thomas
Van Duzer, Clarence Dunn
Van Winkle, Marshall 
Wachter, Frank Charles
Wadsworth, James Wolcott
Warner, William 
Waskey, Frank Hinman
Webber, Amos Richard
Welborn, John 
Wharton, Charles Stuart
Williamson, John Newton
Wood, Ernest Edward
Zenor, William Taylor
Benson, Alfred Washburn
Whyte, William Pinkney
Acheson, Ernest Francis
Bailey, Joseph Weldon
Bannon, Henry Towne
Beale, Joseph Grant
Bede, James Adam
Birdsall, Benjamin Pixley
Bonynge, Robert William
Bourne, Jonathan 
Boyd, John Frank
Brick, Abraham Lincoln
Briggs, Frank Obadiah
Brodhead, Joseph Davis
Brown, Norris 
Brumm, Charles Napoleon
Brundidge, Stephen 
Bryan, William James
Burnham, Henry Eben
Burton, Hiram Rodney
Caldwell, Ben Franklin
Cale, Thomas 
Cassel, Henry Burd
Caulfield, Henry Stewart
Chaney, John Crawford
Conner, James Perry
Cook, George Washington
Cooper, Samuel Bronson
Cousins, Robert Gordon
Crane, Winthrop Murray
Crawford, William Thomas
Cullom, Shelby Moore
Darragh, Archibald Bard
Davey, Robert Charles
Davis, Jeff 
Dawes, Beman Gates
Dixon, Joseph Moore
Dolliver, Jonathan Prentiss
Dunwell, Charles Tappan
Elkins, Stephen Benton
Foster, John Hopkins
Foster, Murphy James
Frye, William Pierce
Fulton, Elmer Lincoln
Gaines, John Wesley
Gamble, Robert Jackson
Gilhams, Clarence Chauncey
Granger, Daniel Larned Davis
Guggenheim, Simon 
Hackett, Richard Nathaniel
Hackney, Thomas 
Haggott, Warren Armstrong
Hale, Nathan Wesley
Hall, Philo 
Hamilton, Daniel Webster
Harding, John Eugene
Haskins, Kittredge 
Hepburn, William Peters
Hill, Wilson Shedric
Holliday, Elias Selah
Jackson, William Humphreys
James, Addison Davis
Jenkins, John James
Kimball, William Preston
Kitchin, William Walton
Knopf, Philip 
Lamar, James Robert
Lamar, William Bailey
Landis, Charles Beary
Laning, Jay Ford
Leake, Eugene Walter
Lenahan, John Thomas
Lewis, Elijah Banks
Lilley, George Leavens
Littlefield, Charles Edgar
Marshall, Thomas Frank
McGavin, Charles 
McLain, Frank Alexander
McLaurin, Anselm Joseph
McMillan, Samuel 
Meyer, Adolph 
Mouser, Grant Earl
Murphy, James William
Overstreet, Jesse 
Parker, William Henry
Paynter, Thomas Hanson
Pollard, Ernest Mark
Porter, Peter Augustus
Powers, Llewellyn 
Pratt, Le Gage
Reyburn, John Edgar
Richardson, Harry Alden
Rixey, John Franklin
Ryan, William Henry
Sherman, James Schoolcraft
Slemp, Campbell 
Smith, George Washington
Smith, Madison Roswell
Taylor, Robert Love
Waldo, George Ernest
Weems, Capell Lane
Wiley, Ariosto Appling
Wiley, Oliver Cicero
Wolf, Harry Benjamin
Gary, Frank Boyd
Milton, William Hall
Stewart, John Wolcott
Wetmore, George Peabody
Alexander, De Alva Stanwood
Allen, Amos Lawrence
Barclay, Charles Frederick
Barnard, William Oscar
Bartlett, George Arthur
Bennett, Joseph Bentley
Boutell, Henry Sherman
Bowers, Eaton Jackson
Bradley, William O’Connell
Bristow, Joseph Little
Brownlow, Walter Preston
Byrd, Adam Monroe
Calderhead, William Alexander
Capron, Adin Ballou
Cassidy, James Henry
Chapman, Pleasant Thomas
Clay, Alexander Stephens
Cocks, William Willets
Cole, Ralph Dayton
Cook, Joel 
Cooper, Allen Foster
Coudrey, Harry Marcy
Cowles, Charles Holden
Craig, William Benjamin
Crawford, Coe Isaac
Creager, Charles Edward
Crow, Charles Augustus
Cushman, Francis Wellington
Dawson, Albert Foster
De Armond, David Albaugh
Denby, Edwin 
Diekema, Gerrit John
Douglas, Albert 
Durey, Cyrus 
Edwards, Don Calvin
Ellis, William Russell
Elvins, Politte 
Englebright, William Fellows
Fassett, Jacob Sloat
Fish, Hamilton 
Foelker, Otto Godfrey
Foss, Eugene Noble
Foulkrod, William Walker
Fowler, Charles Newell
Gaines, Joseph Holt
Gardner, Washington 
Garner, Alfred Buckwalter
Gill, John 
Gillespie, Oscar William
Gilmore, Samuel Louis
Goebel, Herman Philip
Gordon, James 
Graff, Joseph Verdi
Graham, William Harrison
Grant, John Gaston
Griggs, James Mathews
Hamer, Thomas Ray
Havens, James Smith
Heyburn, Weldon Brinton
Hinshaw, Edmund Howard
Howard, William Marcellus
Howell, Benjamin Franklin
Hubbard, William Pallister
Huff, George Franklin
Hughes, Charles James
Hull, John Albert Tiffin
Jamieson, William Darius
Johnson, Adna Romulus
Johnson, Martin Nelson
Johnston, Joseph Forney
Joyce, James 
Keifer, Joseph Warren
Keliher, John Austin
Kennedy, James 
Knapp, Charles Luman
Kronmiller, John 
Küstermann, Gustav 
Larrinaga, Tulio 
Lassiter, Francis Rives
Law, Charles Blakeslee
Lively, Robert Maclin
Livingston, Leonidas Felix
Lorimer, William 
Lovering, William Croad
Lowden, Frank Orren
Lundin, Frederick 
Massey, Zachary David
Maynard, Harry Lee
McCredie, William Wallace
McEnery, Samuel Douglas
McKinlay, Duncan E.
McLachlan, James 
Miller, James Monroe
Millington, Charles Stephen
Morehead, John Motley
Morgan, Charles Henry
Moxley, William James
Mudd, Sydney Emanuel
Murphy, Arthur Phillips
Nicholls, Thomas David
O’Connell, Joseph Francis
Ocampo, Pablo 
Olcott, Jacob Van Vechten
Palmer, Henry Wilbur
Parsons, Herbert 
Patterson, James O’Hanlon
Pearre, George Alexander
Perkins, George Clement
Perkins, James Breck
Pratt, Charles Clarence
Reeder, William Augustus
Reid, Charles Chester
Reynolds, John Merriman
Rhinock, Joseph Lafayette
Root, Elihu 
Russell, Gordon James
Scott, Charles Frederick
Sheffield, William Paine
Snapp, Howard Malcolm
Southwick, George Newell
Sperry, Nehemiah Day
Spight, Thomas 
Stephenson, Isaac 
Sturgiss, George Cookman
Swasey, John Philip
Tawney, James Albertus
Tener, John Kinley
Thomas, Charles Randolph
Thomas, William Aubrey
Thompson, Fountain Land
Tirrell, Charles Quincy
Tou Velle, William Ellsworth
Wallace, Robert Minor
Wanger, Irving Price
Washburn, Charles Grenfill
Weisse, Charles Herman
Wheeler, Nelson Platt
Wiley, William Halsted
Willett, William Forte
Young, Richard 
Percy, Le Roy
Purcell, William Edward
Terrell, Joseph Meriwether
Thornton, John Randolph
Young, Lafayette 
Akin, Theron 
Ames, Butler 
Anderson, Carl Carey
Andrews, William Henry
Andrus, John Emory
Ayres, Steven Beckwith
Bates, Arthur Laban
Bingham, Henry Harrison
Boehne, John William
Bowman, Charles Calvin
Bradley, Thomas Wilson
Brantley, William Gordon
Bryan, Nathan Philemon
Catlin, Theron Ephron
Chilton, William Edwin
Clapp, Moses Edwin
Clark, Clarence Don
Connell, Richard Edward
Cox, James Middleton
Crumpacker, Edgar Dean
Currier, Frank Dunklee
Curry, George 
Dalzell, John 
Daugherty, James Alexander
De Forest, Henry Schermerhorn
Denver, Matthew Rombach
Dickson, William Alexander
Dodds, Francis Henry
Draper, William Henry
Driscoll, Michael Edward
Dwight, John Wilbur
Ellerbe, James Edwin
Evans, Lynden 
Fornes, Charles Vincent
Foster, David Johnson
Gardner, John James
Gardner, Obadiah 
Gill, Patrick Francis
Gordon, George Washington
Gould, Samuel Wadsworth
Gregg, Curtis Hussey
Hamilton, John M.
Hanna, Louis Benjamin
Harris, Robert Orr
Hartman, Jesse Lee
Heald, William Henry
Henry, Edward Stevens
Higgins, Edwin Werter
Howland, Leonard Paul
Hubbard, Elbert Hamilton
Jackson, Fred Schuyler
Johnson, Charles Fletcher
Kendall, Nathan Edward
Kern, John Worth
Kipp, George Washington
Kopp, Arthur William
Lamb, John 
Latta, James Polk
Lawrence, George Pelton
Lea, Luke 
Legarda Y Tuason, Benito 
Lindsay, George Henry
Lippitt, Henry Frederick
Littleton, Martin Wiley
Loudenslager, Henry Clay
Macon, Robert Bruce
Madison, Edmond Haggard
Malby, George Roland
Martine, James Edgar
Matthews, Charles 
Mays, Dannite Hill
McCall, Samuel Walker
McCreary, George Deardorff
McHenry, John Geiser
McKinney, James 
McMorran, Henry Gordon
Mitchell, Alexander Clark
Moon, Reuben Osborne
Moore, John Matthew
Morse, Elmer Addison
Needham, James Carson
Nixon, George Stuart
Nye, Frank Mellen
O’Gorman, James Aloysius
Oliver, George Tener
Olmsted, Marlin Edgar
Parran, Thomas 
Pickett, Charles Edgar
Pray, Charles Nelson
Prince, George Washington
Pujo, Arsène Paulin
Randell, Choice Boswell
Rayner, Isidor 
Redfield, William Cox
Rees, Rollin Raymond
Reyburn, William Stuart
Rucker, Atterson Walden
Simmons, James Samuel
Smith, Sylvester Clark
Smith, Walter Inglewood
Speer, Peter Moore
Stack, Edmund John
Sulzer, William 
Sutherland, George 
Sweet, Edwin Forrest
Taylor, Edward Livingston
Thayer, John Alden
Thistlewood, Napoleon Bonaparte
Turnbull, Robert 
Utter, George Herbert
Vreeland, Edward Butterfield
Warburton, Stanton 
Watson, Clarence Wayland
Wedemeyer, William Walter
Wickliffe, Robert Charles
Wilson, William Bauchop
Wood, Ira Wells
Works, John Downey
Young, Isaac Daniel
du Pont, Henry Algernon
Catron, Thomas Benton
Jackson, William Purnell
Massey, William Alexander
Perky, Kirtland Irving
Sanders, Newell 
Ainey, William David Blakeslee
Ansberry, Timothy Thomas
Avis, Samuel Brashear
Bacon, Augustus Octavius
Baker, Jacob Thompson
Baltz, William Nicolas
Bartholdt, Richard 
Bartlett, Charles Lafayette
Barton, Silas Reynolds
Beall, James Andrew
Bell, Charles Webster
Borchers, Charles Martin
Bowdle, Stanley Eyre
Bremner, Robert Gunn
Brockson, Franklin 
Brown, Lathrop 
Bryan, James Wesley
Burke, Charles Henry
Burke, James Francis
Burleigh, Edwin Chick
Burleson, Albert Sidney
Cantor, Jacob Aaron
Carr, Wooda Nicholas
Clancy, John Richard
Clayton, Henry De Lamar
Connolly, Maurice 
Covington, James Harry
Davis, John William
Deitrick, Frederick Simpson
Dershem, Franklin Lewis
Difenderfer, Robert Edward
Donohoe, Michael 
Donovan, Jeremiah 
Elder, James Walter
Faison, John Miller
Falconer, Jacob Alexander
Fergusson, Harvey Butler
Fitzhenry, Louis 
Floyd, John Charles
Fowler, Hiram Robert
Francis, William Bates
George, Henry 
Gill, Michael Joseph
Gilmore, Edward 
Gittins, Robert Henry
Goeke, John Henry
Goff, Nathan 
Goodwin, Forrest 
Gorman, George Edmund
Graham, James McMahon
Gudger, James Madison
Hammond, Winfield Scott
Harris, Christopher Columbus
Harrison, Francis Burton
Heiskell, John Netherland
Hinebaugh, William Henry
Hobson, Richmond Pearson
Hollis, Henry French
Hoxworth, Stephen Arnold
Hughes, William 
James, Ollie Murray
Johnson, Jacob 
Johnston, Rienzi Melville
Kavanaugh, William Marmaduke
Kennedy, William 
Kindel, George John
Kinkead, Eugene Francis
Kirkpatrick, Sanford 
Knowland, Joseph Russell
Konig, George 
Korbly, Charles Alexander
L’Engle, Claude 
Lafferty, Abraham Walter
Lane, Harry 
Langham, Jonathan Nicholas
Lee, Robert Emmett
Legaré, George Swinton
Levy, Jefferson Monroe
Lewis, Fred Ewing
Lindquist, Francis Oscar
Logue, James Washington
MacDonald, William Josiah
Maguire, John Arthur
Mahan, Bryan Francis
Manahan, James 
Martin, Eben Wever
Martin, Lewis J.
Martin, Thomas Staples
McClellan, George 
McCoy, Walter Irving
McGuire, Bird Segle
Merritt, Edwin Albert
Metz, Herman August
Mitchell, John Joseph
Mulkey, William Oscar
Murdock, Victor 
Murray, William Francis
Neeley, George Arthur
O’Brien, James Henry
O’Hair, Frank Trimble
O’Leary, Denis 
Palmer, Alexander Mitchell
Patton, Charles Emory
Payne, Sereno Elisha
Pepper, Irvin St. Clair
Peters, Andrew James
Peterson, John Barney
Plumley, Frank 
Post, James Douglass
Prouty, Solomon Francis
Reed, Eugene Elliott
Reilly, Thomas Lawrence
Richardson, William 
Roddenbery, Seaborn Anderson
Rothermel, John Hoover
Rupley, Arthur Ringwalt
Saulsbury, Willard 
Seldomridge, Harry Hunter
Shafroth, John Franklin
Sharp, William Graves
Smith, Frank Owens
Smith, Samuel William
Smith, William Alden
Stevens, Frederick Clement
Stevens, Raymond Bartlett
Stringer, Lawrence Beaumont
Sullivan, Timothy Daniel
Talcott, Charles Andrew
Taylor, Benjamin Irving
Taylor, George Washington
Thacher, Thomas Chandler
Thompson, William Howard
Thomson, Charles Marsh
Tillman, Benjamin Ryan
Townsend, Edward Waterman
Tuttle, William Edgar
Underhill, Edwin Stewart
Vardaman, James Kimble
Vaughan, Horace Worth
Vollmer, Henry 
Wallin, Samuel 
Walsh, Allan Bartholomew
Weaver, Claude 
Webb, William Robert
Weeks, John Wingate
Whitacre, John Jefferson
Wilder, William Henry
Wilson, Frank Eugene
Young, Horace Olin
Camden, Johnson Newlon
Hardwick, Thomas William
Lee, Blair 
West, William Stanley
White, Francis Shelley
Abercrombie, John William
Adair, John Alfred McDowell
Aiken, Wyatt 
Allen, Alfred Gaither
Bailey, Warren Worth
Barchfeld, Andrew Jackson
Beales, Cyrus William
Beckham, John Crepps Wickliffe
Benedict, Henry Stanley
Bennet, William Stiles
Brady, James Henry
Broussard, Robert Foligny
Brown, William Gay
Buchanan, Frank 
Burgess, George Farmer
Burke, Michael Edmund
Callaway, Oscar 
Chamberlain, George Earle
Charles, William Barclay
Clarke, James Paul
Cline, Cyrus 
Coleman, William Henry
Cullop, William Allen
Danforth, Henry Gold
Davenport, James Sanford
Davis, James Harvey
Driscoll, Daniel Angelus
Earnshaw, Manuel 
Farley, Michael Francis
Gallinger, Jacob Harold
Goulden, Joseph Aloysius
Gronna, Asle Jorgenson
Guernsey, Frank Edward
Hart, Archibald Chapman
